Word, Color, Selected Color, Time, Correct?, Trigger?
SCHWUR, green, NA, NA, NA, NA
KOLLEKTIV, red, green, 1.0354530811309814, False, False
PUDEL, blue, blue, 0.850816011428833, True, False
ZUSTAND, green, green, 0.800950288772583, True, False
GERUCH, blue, blue, 0.9665951728820801, True, False
BANNER, blue, blue, 0.6505610942840576, True, False
FREUND, red, blue, 0.9673819541931152, False, False
GLÜCK, blue, green, 0.4680917263031006, False, False
TYRANN, blue, red, 0.8663640022277832, False, False
TATSACHE, blue, blue, 0.5672643184661865, True, False
REIHE, red, red, 1.1014301776885986, True, False
WAHRHEIT, red, blue, 0.8692352771759033, False, False
ABSENDER, blue, blue, 1.4691870212554932, True, False
INHALT, green, green, 1.238168478012085, True, False
ADOPTION, blue, blue, 1.269097089767456, True, False
FREIHEIT, blue, blue, 1.2013556957244873, True, False
IDYLLE, blue, NA, 0.9844141006469727, False, False
