Word, Color, Selected Color, Time, Correct?, Trigger?
WELTKRIEG, red, NA, 0.05661201477050781, False, False
FREIHEIT, green, NA, 0.04735422134399414, False, False
TOD, blue, NA, 0.00959920883178711, False, False
SUPER, blue, NA, 0.010376453399658203, False, False
TÖTEN, green, NA, 0.009421586990356445, False, False
MAUS, green, NA, 0.005231142044067383, False, False
FREIHEIT, green, NA, 0.00785064697265625, False, False
NAZI, blue, NA, 0.008374452590942383, False, False
HERZLOS, blue, NA, 0.007378101348876953, False, False
GIFTGAS, green, NA, 0.009446382522583008, False, False
ALPTRAUM, red, NA, 0.008114337921142578, False, False
LIEBEN, red, NA, 0.008008956909179688, False, False
VERGASEN, green, NA, 0.013446807861328125, False, False
