Word, Color, Selected Color, Time, Correct?, Trigger?
UMBRUCH, blue, blue, 0.9664371013641357, True, False
MITGLIED, red, green, 1.0518434047698975, False, False
ALPTRAUM, blue, blue, 1.169013500213623, True, False
FASCHING, green, green, 0.9185051918029785, True, False
LYNCHEN, red, red, 0.7843489646911621, True, False
UNTREUE, green, NA, NA, NA, NA
PEST, blue, NA, NA, NA, NA
AFFEKT, red, green, 0.01017618179321289, False, False
LEBENDIG, green, NA, NA, NA, NA
UMBRUCH, red, green, 1.0195302963256836, False, False
ACHSE, red, green, 0.8337545394897461, False, False
NAZI, green, green, 0.9339251518249512, True, False
LACHEN, red, NA, NA, NA, NA
FREIHEIT, green, red, 0.41832447052001953, False, False
FREIHEIT, red, red, 0.9680848121643066, True, False
SCHRAUBE, blue, blue, 0.8009986877441406, True, False
TOTE, green, green, 0.7353737354278564, True, False
ATOMBOMBE, red, blue, 1.034766674041748, False, False
ORGAN, blue, red, 0.7671933174133301, False, False
LACHEN, red, green, 0.7500309944152832, False, False
GLÜCK, red, red, 0.7515661716461182, True, False
FREUND, blue, blue, 0.717435359954834, True, False
LYNCHEN, blue, green, 0.6515376567840576, False, False
ABSENDER, red, green, 0.7174661159515381, False, False
ZUHAUSE, blue, blue, 0.7007768154144287, True, False
DIKTATUR, green, green, 0.5338730812072754, True, False
ERDBEERE, green, NA, 0.40026164054870605, False, False
ALPTRAUM, blue, NA, 0.3515169620513916, False, False
