Word, Color, Selected Color, Time, Correct?, Trigger?
MAGMA, blue, red, 2.0557961463928223, False, False
SEX, blue, red, 2.009758710861206, False, False
KREATIV, green, green, 2.010493516921997, True, False
ERZFEIND, red, red, 2.0108284950256348, True, False
ANGST, blue, green, 2.00838565826416, False, False
SCHEICH, green, red, 2.0091350078582764, False, False
WEBER, red, NA, 2.0098891258239746, False, False
FREUND, red, red, 2.0094242095947266, True, False
LEBENDIG, red, red, 2.0089926719665527, True, False
LIEBE, green, NA, 2.008244276046753, False, False
NAZIZEIT, blue, red, 2.0080442428588867, False, False
LOCKEN, green, red, 2.0099074840545654, False, False
MODERN, green, NA, 2.00882625579834, False, False
FOLTERN, red, NA, 2.0083141326904297, False, False
